Feature ID	Taxon	Confidence
164682b470d1a82bc71dbafcc5e98abc	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__pallens	0.9999836424999317
28201b2549aa242bc47394d315903e21	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella; s__sp._oral_taxon_914	0.8643814587480841
6595b90330a196abee043dc4bd66bb75	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae_[XI]; g__Peptostreptococcus; s__stomatis	0.9307423602487593
f4640886b999098183feb807e5853718	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa	0.989028838052802
6dafdaa45824ee20528968e24fd75c4a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica	0.7910125218039008
a20c343808b9a59137a3ebe7b53a59a3	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria	0.9992937802238062
2c84cd5dc3d2a648598b41ad332ebb0c	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__nucleatum_subsp._vincentii	0.8923761053476534
1b5035fcb76ea88a13bd1f5fdf62ac0b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]; g__Lachnospiraceae_[G-2]; s__sp._oral_taxon_096	0.9998669831163141
4af9096c96276a92acf64e719fb066ce	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Lautropia; s__	0.9379135303432687
57874b1673194bc615c0fb1e21f6b185	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]; g__Stomatobaculum; s__sp._oral_taxon_097	0.9999441250471657
93ce1df4279f5632946eaa3acb062188	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999999999487
153618ea6f130b6d5ada1c4eb51fdf56	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__endodontalis	0.9654059381198824
343fcdd806fecc1010a13ae5bb61f782	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus	0.9938934881203535
121041944368eb7b79d9ea0e9b6d288c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__	0.7993863690227008
ab168bfbcaa2e7561289c34174208896	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__matruchotii	0.9945928539681288
df971315576c3c43de3fe8fcc6e3143e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nanceiensis	0.9999997870970332
d9200f9d884faec9320e36d626d9c067	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	0.9999999969317798
6885cbab9ea7d2c1478ab053af984914	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999999998197
13fb2ef09d9b93e8de68ed22af864f18	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]; g__Lachnoanaerobaculum; s__orale	0.888695854777736
be517239abfe57d3f828fc1b9846be9f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]; g__Lachnoanaerobaculum; s__umeaense	0.9767663601768471
6c6e6592b91fed78c0f9e53f541f5e4e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nigrescens	0.999999912989683
d2a611d8acdd9d44e180a9c408afb006	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica	0.9725815924912401
f954084122b893907636934399e518d7	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__; s__	0.9997950252414138
a46071b81db4ced3c1ec35bf92b0c01c	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae	0.9999999999998397
cb64b9dec6aae12a5e94d7db191c2142	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__sp._oral_taxon_221	0.999908663169486
5cb714f4957b95f9a5e219280c84028c	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__concisus	0.871478603878616
a6ae5d1fb3fa27a72d6ea96dbf4373d2	k__Bacteria; p__Firmicutes	0.9999999999976124
574a81e8316fd3f7e845f85ffbe8df54	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__intermedia	0.9999997496455564
c157ac1156292ef9b0ea73331dc96112	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__pallens	0.9999735283845262
d60db5d8226f035b4d89fe8b4b49f385	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__aeria	0.9804489806948854
6f3da9a32524f8e93ab4d71f480a3e00	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella	0.9536314819386937
d674bd492c8ee15e6fc5ff92971db569	k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.9999999999999931
34d2624becb07cbce6f1a4e6f816651e	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria	0.9242865576639822
b9acce8396584e035a7b54d2e688bf0e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia	0.9970261101407458
13818452605b23521f6e4384a0ff6e29	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__sp._oral_taxon_215	0.7997611124544679
bc61b6f00804edf5fb41b5372f34776c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__gingivalis	0.9995724475500182
cb57004a30385ade6e84b9176e7973cc	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999999992703
a61436c6f84c216f378944b309c45744	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__tannerae	0.9931353114003921
3405abb98df1d7f215329f13781c21e6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae_[XI]; g__Mogibacterium	0.9294204015927402
